127.0.0.1 - - [12/Jul/2016:23:08:23 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:24 +0700] "GET /recsys/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/dang-nhap;jsessionid=C062E97790DF3CBFE6B847EE7F371217 HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/js/jquery-2.0.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/libs/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/libs/bootstrap-3.3.6-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /recsys/resources/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:25 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:31 +0700] "POST /recsys/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:32 +0700] "GET /recsys/ HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:40 +0700] "GET /recsys/ket-qua?taskid=%201 HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:40 +0700] "GET /recsys/resources/libs/DataTables-1.10.9/css/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:41 +0700] "GET /recsys/resources/libs/DataTables-1.10.9/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:41 +0700] "GET /recsys/resources/js/datatable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:41 +0700] "GET /recsys/resources/libs/DataTables-1.10.9/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:41 +0700] "GET /recsys/resources/libs/DataTables-1.10.9/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2016:23:08:41 +0700] "GET /recsys/resources/libs/DataTables-1.10.9/images/sort_desc.png HTTP/1.1" 304 -
